submitter,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
MB-0162,0.0,0.089209659,0.0,0.098467282,0.185015013,0.0,0.119083535,0.059427717,0.008358544,0.073769581,0.014927672,0.0,0.0,0.0,0.048849803,0.001056293,0.081817664,0.0185694,0.111455525,0.0,0.022561855,0.067430458
MB-0163,0.106540983,0.005659084,0.078762672,0.198182158,0.074309542,0.0,0.052340857,0.0,0.015434337,0.0,0.093221167,0.0,0.159447266,0.049800326,0.034047914,0.010149656,0.048583464,0.0,0.0,0.073520573,0.0,0.0
MB-0164,0.0,0.172054088,0.078927985,0.068940044,0.177860369,0.0,0.136967094,0.0,0.0,0.02815836,0.062859988,0.0,0.0,0.0,0.023355096,0.013442069,0.028922159,0.0,0.0,0.17350961,0.030921768,0.004081369
MB-0165,0.0,0.137292231,0.09010489,0.128449293,0.063961995,0.198016722,0.0,0.0,0.0,0.0,0.111178061,0.0,0.1269674,0.0,0.005337137,0.0,0.024678661,0.018120475,0.0,0.095893137,0.0,0.0
MB-0166,0.0,0.111526505,0.0,0.070112406,0.137108219,0.0,0.0,0.0,0.109779448,0.106008678,0.078896944,0.0,0.062615476,0.086029189,0.0,0.049222567,0.100237503,0.016814506,0.0,0.071648558,0.0,0.0
MB-0167,0.036122533,0.104906737,0.065208371,0.110474538,0.0,0.032987687,0.008723859,0.0,0.0,0.0,0.138300498,0.0,0.021846333,0.0,0.05591213,0.112984073,0.108977312,0.0,0.0,0.189492589,0.01406334,0.0
MB-0168,0.098771693,0.0,0.0,0.157848031,0.0,0.002898839,0.0,0.193945943,0.0,0.0,0.0,0.077076895,0.0,0.054616183,0.013693661,0.008182411,0.139491804,0.02703972,0.174870977,0.003437169,0.0,0.048126675
MB-0169,0.058450654,0.042778025,0.102348368,0.0,0.130442631,0.0,0.056659419,0.046729169,0.0,0.047278512,0.111976425,0.0,0.062903071,0.033614202,0.0,0.095805841,0.069413321,0.06097163,0.0,0.08062873,0.0,0.0
MB-0170,0.063740917,0.0,0.169532776,0.106126771,0.106221139,0.0,0.038313135,0.152418886,0.034852941,0.0,0.085870444,0.0,0.017113951,0.0,0.032411294,0.085800692,0.051111544,0.0,0.0,0.037934569,0.006546366,0.012004576
MB-0171,0.092133135,0.0,0.138697301,0.088925411,0.129794092,0.0,0.04345489,0.028824938,0.0,0.100547447,0.0,0.0,0.0,0.00453807,0.032665436,0.063818725,0.0891659,0.0,0.0,0.08225042,0.065978134,0.0392061
MB-0172,0.050455236,0.0,0.0,0.174521526,0.0,0.0,0.0,0.232897562,0.006856353,0.0,0.0,0.097526902,0.058114861,0.034432855,0.075889952,0.0,0.109849442,0.010670856,0.124076133,0.0,0.0,0.024708322
MB-0173,0.048265636,0.063384492,0.102259427,0.062096239,0.178191537,0.0,0.139995639,0.0,0.01696659,0.064378368,0.030739734,0.0,0.0,0.0,0.028553091,0.127471753,0.03657224,0.0,0.0,0.070531199,0.027395602,0.003198453
MB-0174,0.0,0.080092561,0.015903979,0.242261681,0.0,0.0,0.038626675,0.0,0.0,0.0,0.0,0.01833577,0.134848994,0.122716419,0.060510458,0.0,0.018895092,0.169325519,0.053970573,0.044512279,0.0,0.0
MB-0175,0.014194085,0.0,0.0,0.0,0.032619712,0.3205251,0.089536976,0.0,1.5e-05,0.0,0.153656687,0.0,0.115246506,0.0,0.0,0.033843709,0.092115512,0.0,0.0,0.115340285,0.03290643,0.0
